ANT1,8.38,-3.56,90.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.26,1.65,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.92,-10.67,0.00,10µF,NORDIC_NRF_3_RESC0201_L
C10,10.67,1.78,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,12.45,0.76,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,4.83,7.87,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,4.06,2.92,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-3.94,1.78,180.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,11.18,-2.67,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C16,6.73,0.25,0.00,27nF,NORDIC_NRF_3_RESC0201_L
C17,-0.25,4.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-5.21,5.97,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,14.35,2.54,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,5.46,3.30,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,3.30,-8.64,270.00,4.7µF/25V,NORDIC_NRF_3_RESC0201_L
C20,0.51,-5.46,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,-0.51,-5.71,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,13.08,-2.67,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-6.26,15.75,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-11.18,15.62,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-6.22,9.65,180.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,3.79,-15.28,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.43,-11.81,180.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C3,9.78,-0.13,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-10.92,-11.81,180.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C31,2.03,-12.15,90.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C32,21.51,-7.24,0.00,1µF,NORDIC_NRF_3_RESC0201_L
C33,-11.56,13.84,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,21.16,-12.50,90.00,0.1µF,NORDIC_NRF_3_RESC0201_L
C37,-16.13,15.62,0.00,,NORDIC_NRF_3_RESC0201_L
C38,-17.80,15.76,0.00,,NORDIC_NRF_3_RESC0201_L
C39,-17.53,13.08,0.00,,NORDIC_NRF_3_RESC0201_L
C4,12.19,-2.67,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-20.83,-8.51,180.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-20.83,-12.32,0.00,"4.7uF ",NORDIC_NRF_3_RESC0201_L
C5,-3.81,-0.25,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-1.78,-3.43,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,4.45,-5.55,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,5.46,-5.71,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,11.56,-10.16,90.00,820pF,NORDIC_NRF_3_RESC0201_L
D1,-10.92,10.29,180.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D3,14.35,-6.86,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D4,7.49,-9.53,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,0.13,-9.14,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,-6.73,13.51,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-7.87,2.41,0.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C10,-10.29,-4.68,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-10.29,-5.51,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-10.29,-6.35,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-8.00,4.32,0.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C5,-10.03,0.38,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-10.16,-1.52,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-10.29,-2.67,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-10.29,-3.56,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,-5.01,-2.44,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,20.19,-9.53,0.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC2,-19.90,13.53,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC3,15.62,-1.02,0.00,BMA423_BMA423,BMA423_BMA423
IC9,-13.84,14.99,0.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,11.56,10.48,90.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.38,12.95,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,10.16,-6.99,180.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,1.91,3.30,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,1.40,6.48,180.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-6.22,-10.29,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-15.49,-9.53,0.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,13.97,-9.91,180.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,2.41,9.02,270.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R18,5.08,8.89,270.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R1_EP_DR,16.13,-9.40,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R1_USB,-0.76,8.38,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2,-16.13,13.97,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2_EP_DR,14.73,-11.81,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2_USB,-4.95,7.87,270.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R3,13.05,-1.78,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R4,-16.13,14.73,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R5,-7.24,-16.00,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R7,5.08,-11.43,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R8,0.64,-11.43,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R9,-18.76,10.97,270.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R_PWR_EPD,-6.35,11.43,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R_TYPE_SEL,16.00,-12.07,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
SJ1,15.84,-15.43,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,20.83,-5.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-18.75,-14.47,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-5.46,-15.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,18.04,14.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,16.38,2.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-3.81,-5.71,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,20.83,-1.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-15.75,9.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-18.23,8.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,20.91,2.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,20.91,6.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,20.07,11.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-16.13,-12.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-20.91,8.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,2.54,-1.27,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,6.10,-15.11,0.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,8.13,3.68,0.00,,NORDIC_NRF_BT-XTAL_2016_N
X2,-3.18,4.19,180.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
